"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $3956.98686449761/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0x2944927ac4413948b5446cc82a84e8548690e016fdc800892627fcbfe7fff878","21398494","1734152051","2024-12-14 04:54:11","0xdfe81df9ff27a7200240695e93bdb6cc5f9f60e6","0x0000000000000068f116a894984e2db1123eb395","","0","0.6","2374.19211869857","0.002146368020147155","8.49315006210003","3869.58","","","Fulfill Advanced Order"
"0x594b088d4e6885c1aaee9209cb81b311038e21fa8eba0f05c7c521fc5df1dbdc","21399981","1734169979","2024-12-14 09:52:59","0xdfe81df9ff27a7200240695e93bdb6cc5f9f60e6","0x0000000000000068f116a894984e2db1123eb395","","0","0.264","1044.64453222737","0.001958575779113295","7.75005863107448","3869.58","","","Fulfill Available Advanced Orders"
"0x87e4af39a1ff31dbfde7859fe517d2c824a02e35bfa64b88ae87bb11bb7e43c3","21401199","1734184655","2024-12-14 13:57:35","0xdfe81df9ff27a7200240695e93bdb6cc5f9f60e6","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","","0","0","0","0.00033756316733876","1.33573301909768","3869.58","","","Withdraw"
"0xfaa8997fee5cf854bcd13bca153fba6b7461de705050545f7572f07b560d1323","21401202","1734184691","2024-12-14 13:58:11","0xdfe81df9ff27a7200240695e93bdb6cc5f9f60e6","0x0000000000000068f116a894984e2db1123eb395","","0","0.2909","1151.08747888235","0.002234986401645054","8.84381183364026","3869.58","","","Fulfill Available Advanced Orders"
"0x33a63a105cb006bda7bae167dea55bd2c965cc49e1771c30fd04f6eff3ec1ace","21401855","1734192623","2024-12-14 16:10:23","0xdfe81df9ff27a7200240695e93bdb6cc5f9f60e6","0x0000000000000068f116a894984e2db1123eb395","","0","0","0","0.000613813404417122","2.42885157853111","3869.58","","","Cancel"
"0x4457d378514c808c921b8917d363bad3e7b47cce8e6dcdadf6f76c4c6c850636","21401861","1734192695","2024-12-14 16:11:35","0xdfe81df9ff27a7200240695e93bdb6cc5f9f60e6","0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5","","0","0","0","0.000599436637447676","2.37196290047907","3869.58","","","Cancel Trades"
"0x5ba4af7fc5227aa23f5974bee5323c1651dc9cc225d6e4d9ccd92f9719335305","21402367","1734198791","2024-12-14 17:53:11","0xdfe81df9ff27a7200240695e93bdb6cc5f9f60e6","0x0000000000000068f116a894984e2db1123eb395","","0","0.65","2572.04146192345","0.001577059807296512","6.24040494199943","3869.58","","","Fulfill Advanced Order"
"0xfeb4b4a1442cabe4379160bbce80fcb46214f10331aea7020bcee8ddfdd4f8a7","21402413","1734199343","2024-12-14 18:02:23","0xdfe81df9ff27a7200240695e93bdb6cc5f9f60e6","0x0000000000000068f116a894984e2db1123eb395","","0","0","0","0.00140960817897753","5.57780104830248","3869.58","","","Cancel"
"0xec3d43adf0b160d6e0ecf3f7e1550b802240412e802f2f1df416e1833cf2c91c","21402416","1734199379","2024-12-14 18:02:59","0xdfe81df9ff27a7200240695e93bdb6cc5f9f60e6","0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5","","0","0","0","0.000957948714118725","3.79059047863017","3869.58","","","Cancel Trades"
"0xb4931792d7ccd7f5315813628800f3a2f9f89bd226f706e1cca0f40b263a85ec","21402467","1734200003","2024-12-14 18:13:23","0xdfe81df9ff27a7200240695e93bdb6cc5f9f60e6","0x0000000000000068f116a894984e2db1123eb395","","0","0","0","0.000588117700939769","2.3271740173972","3869.58","","","Cancel"
